Time,Axial Accel (Gs),[Altitude (Baro-Ft-AGL)]
0.315,10.7512,2.78027
0.31625,10.7512,2.78027
0.3175,10.7512,2.78027
0.31875,10.8495,2.78027
0.32,10.8495,2.78027
0.32125,10.8495,2.78027
0.3225,10.8495,2.78027
0.32375,10.7512,2.78027
0.325,10.7512,2.78027
0.32625,10.7512,2.78027
0.3275,10.7512,2.78027
0.32875,10.8495,2.78027
0.33,10.8495,2.78027
0.33125,10.7512,2.78027
0.3325,10.7512,2.78027
0.33375,10.7512,2.78027
0.335,10.7512,2.78027
0.33625,10.8495,2.78027
0.3375,10.8495,2.78027
0.33875,10.9477,2.78027
0.34,10.9477,2.78027
0.34125,10.9477,2.78027
0.3425,10.9477,2.78027
0.34375,10.9477,2.78027
0.345,10.9477,5.29443
0.34625,10.9477,5.29443
0.3475,10.9477,5.29443
0.34875,11.0459,5.29443
0.35,11.0459,5.29443
0.35125,11.0459,5.29443
0.35125,11.0459,5.29443
0.35125,11.0459,5.29443
0.3525,11.0459,5.29443
0.35375,11.0459,5.29443
0.355,11.0459,5.29443
0.35625,11.1441,5.29443
0.3575,11.1441,5.29443
0.35875,11.1441,5.29443
0.36,11.1441,5.29443
0.36125,11.0459,5.29443
0.3625,11.0459,5.29443
0.36375,10.9477,5.29443
0.365,10.9477,5.29443
0.36625,11.0459,5.29443
0.3675,11.0459,5.29443
0.36875,11.0459,5.29443
0.37,11.0459,5.29443
0.37125,11.1441,5.29443
0.3725,11.1441,5.29443
0.37375,11.1441,5.29443
0.375,11.1441,5.29443
0.37625,11.2424,5.29443
0.3775,11.2424,5.29443
0.37875,11.3406,5.29443
0.38,11.3406,5.29443
0.38125,11.2424,5.29443
0.3825,11.2424,5.29443
0.38375,11.3406,5.29443
0.385,11.3406,5.29443
0.38625,11.3406,5.29443
0.3875,11.3406,5.29443
0.38875,11.4388,5.29443
0.39,11.4388,5.29443
0.39125,11.4388,5.29443
0.3925,11.4388,5.29443
0.39375,11.4388,5.29443
0.395,11.4388,4.03711
0.39625,11.5371,4.03711
0.3975,11.5371,4.03711
0.39875,11.6353,4.03711
0.4,11.6353,4.03711
0.40125,11.6353,4.03711
0.40125,11.6353,4.03711
0.40125,11.6353,4.03711
0.4025,11.6353,4.03711
0.40375,11.6353,4.03711
0.405,11.6353,4.03711
0.40625,11.7335,4.03711
0.4075,11.7335,4.03711
0.40875,11.8318,4.03711
0.41,11.8318,4.03711
0.41125,11.8318,4.03711
0.4125,11.8318,4.03711
0.41375,11.8318,4.03711
0.415,11.8318,4.03711
0.41625,11.8318,4.03711
0.4175,11.8318,4.03711
0.41875,11.7335,4.03711
0.42,11.7335,4.03711
0.42125,11.7335,4.03711
0.4225,11.7335,4.03711
0.42375,11.6353,4.03711
0.425,11.6353,4.03711
0.42625,11.6353,4.03711
0.4275,11.6353,4.03711
0.42875,11.5371,4.03711
0.43,11.5371,4.03711
0.43125,11.6353,4.03711
0.4325,11.6353,4.03711
0.43375,11.7335,4.03711
0.435,11.7335,4.03711
0.43625,11.7335,4.03711
0.4375,11.7335,4.03711
0.43875,11.7335,4.03711
0.44,11.7335,4.03711
0.44125,11.7335,4.03711
0.4425,11.7335,4.03711
0.44375,11.8318,4.03711
0.445,11.8318,4.03711
0.44625,11.8318,4.03711
0.4475,11.8318,4.03711
0.44875,11.7335,4.03711
0.45,11.7335,4.03711
0.45125,11.7335,4.03711
0.45125,11.7335,4.03711
0.45125,11.7335,4.03711
0.4525,11.7335,4.03711
0.45375,11.7335,4.03711
0.455,11.7335,4.03711
0.45625,11.7335,4.03711
0.4575,11.7335,4.03711
0.45875,11.8318,4.03711
0.46,11.8318,4.03711
0.46125,11.7335,4.03711
0.4625,11.7335,4.03711
0.46375,11.7335,4.03711
0.465,11.7335,4.03711
0.46625,11.7335,4.03711
0.4675,11.7335,4.03711
0.46875,11.7335,4.03711
0.47,11.7335,4.03711
0.47125,11.8318,4.03711
0.4725,11.8318,4.03711
0.47375,11.93,4.03711
0.475,11.93,4.03711
0.47625,11.8318,4.03711
0.4775,11.8318,4.03711
0.47875,11.8318,4.03711
0.48,11.8318,4.03711
0.48125,11.8318,4.03711
0.4825,11.8318,4.03711
0.48375,11.93,4.03711
0.485,11.93,4.03711
0.48625,11.93,4.03711
0.4875,11.93,4.03711
0.48875,11.8318,4.03711
0.49,11.8318,4.03711
0.49125,11.7335,4.03711
0.4925,11.7335,4.03711
0.49375,11.8318,4.03711
0.495,11.8318,5.29443
0.49625,11.8318,5.29443
0.4975,11.8318,5.29443
0.49875,11.8318,5.29443
0.5,11.8318,5.29443
0.50125,11.8318,5.29443
0.50125,11.8318,5.29443
0.50125,11.8318,5.29443
0.5025,11.8318,5.29443
0.50375,12.0282,5.29443
0.505,12.0282,5.29443
0.50625,12.1264,5.29443
0.5075,12.1264,5.29443
0.50875,12.0282,5.29443
0.51,12.0282,5.29443
0.51125,12.0282,5.29443
0.5125,12.0282,5.29443
0.51375,12.1264,5.29443
0.515,12.1264,5.29443
0.51625,12.1264,5.29443
0.5175,12.1264,5.29443
0.51875,12.0282,5.29443
0.52,12.0282,5.29443
0.52125,12.1264,5.29443
0.5225,12.1264,5.29443
0.52375,12.2247,5.29443
0.525,12.2247,5.29443
0.52625,12.3229,5.29443
0.5275,12.3229,5.29443
0.52875,12.3229,5.29443
0.53,12.3229,5.29443
0.53125,12.5194,5.29443
0.5325,12.5194,5.29443
0.53375,12.4211,5.29443
0.535,12.4211,5.29443
0.53625,12.4211,5.29443
0.5375,12.4211,5.29443
0.53875,12.4211,5.29443
0.54,12.4211,5.29443
0.54125,12.6176,5.29443
0.5425,12.6176,5.29443
0.54375,12.9123,5.29443
0.545,12.9123,7.80811
0.54625,13.0105,7.80811
0.5475,13.0105,7.80811
0.54875,12.9123,7.80811
0.55,12.9123,7.80811
0.55125,12.8141,7.80811
0.55125,12.8141,7.80811
0.55125,12.8141,7.80811
0.5525,12.8141,7.80811
0.55375,12.6176,7.80811
0.555,12.6176,7.80811
0.55625,12.4211,7.80811
0.5575,12.4211,7.80811
0.55875,12.7158,7.80811
0.56,12.7158,7.80811
0.56125,12.7158,7.80811
0.5625,12.7158,7.80811
0.56375,12.8141,7.80811
0.565,12.8141,7.80811
0.56625,12.9123,7.80811
