Time,Axial Accel (Gs),[Altitude (Baro-Ft-AGL)],
126.664,-0.25053,465.1676829,141.8194155
126.665,-0.25053,465.1676829,141.8194155
126.666,-0.25053,465.1676829,141.8194155
126.668,-0.25053,465.1676829,141.8194155
126.669,-0.34876,465.1676829,141.8194155
126.67,-0.34876,465.1676829,141.8194155
126.671,-0.25053,465.1676829,141.8194155
126.673,-0.25053,465.1676829,141.8194155
126.674,-0.25053,465.1676829,141.8194155
126.675,-0.25053,465.1676829,141.8194155
126.676,-0.25053,465.1676829,141.8194155
126.677,-0.25053,465.1676829,141.8194155
126.679,-0.25053,465.1676829,141.8194155
126.68,-0.25053,465.1676829,141.8194155
126.681,-0.25053,465.1676829,141.8194155
126.683,-0.25053,465.1676829,141.8194155
126.684,-0.34876,465.1676829,141.8194155
126.685,-0.34876,465.1676829,141.8194155
126.686,-0.25053,465.1676829,141.8194155
126.688,-0.25053,465.1676829,141.8194155
126.689,-0.34876,465.1676829,141.8194155
126.69,-0.34876,465.1676829,141.8194155
126.691,-0.25053,465.1676829,141.8194155
126.692,-0.25053,465.1676829,141.8194155
126.694,-0.25053,465.1676829,141.8194155
126.695,-0.25053,463.9634146,141.4522606
126.696,-0.25053,463.9634146,141.4522606
126.698,-0.25053,463.9634146,141.4522606
126.699,-0.25053,463.9634146,141.4522606
126.7,-0.25053,463.9634146,141.4522606
126.701,-0.1523,463.9634146,141.4522606
126.701,-0.1523,463.9634146,141.4522606
126.701,-0.1523,463.9634146,141.4522606
126.702,-0.1523,463.9634146,141.4522606
126.704,-0.1523,463.9634146,141.4522606
126.705,-0.1523,463.9634146,141.4522606
126.706,-0.1523,463.9634146,141.4522606
126.707,-0.1523,463.9634146,141.4522606
126.709,-0.1523,463.9634146,141.4522606
126.71,-0.1523,463.9634146,141.4522606
126.711,-0.1523,463.9634146,141.4522606
126.713,-0.1523,463.9634146,141.4522606
126.714,-0.05407,463.9634146,141.4522606
126.715,-0.05407,463.9634146,141.4522606
126.716,-0.1523,463.9634146,141.4522606
126.717,-0.1523,463.9634146,141.4522606
126.719,-0.1523,463.9634146,141.4522606
126.72,-0.1523,463.9634146,141.4522606
126.721,-0.1523,463.9634146,141.4522606
126.723,-0.1523,463.9634146,141.4522606
126.724,-0.25053,463.9634146,141.4522606
126.725,-0.25053,463.9634146,141.4522606
126.726,-0.1523,463.9634146,141.4522606
126.728,-0.1523,463.9634146,141.4522606
126.729,-0.1523,463.9634146,141.4522606
126.73,-0.1523,463.9634146,141.4522606
126.731,-0.1523,463.9634146,141.4522606
126.732,-0.1523,463.9634146,141.4522606
126.734,-0.1523,463.9634146,141.4522606
126.735,-0.1523,463.9634146,141.4522606
126.736,-0.1523,463.9634146,141.4522606
126.738,-0.1523,463.9634146,141.4522606
126.739,-0.1523,463.9634146,141.4522606
126.74,-0.1523,463.9634146,141.4522606
126.741,-0.25053,463.9634146,141.4522606
